old,new
Tamil Nadu/Thanjavur,Tamil Nadu/Thanjavur
Tamil Nadu/The Nilgiris,Tamil Nadu/Nilgiris
Tamil Nadu/Theni  ,Tamil Nadu/Theni
Tamil Nadu/Thiruvallur,Tamil Nadu/Thiruvallur
Tamil Nadu/Thiruvarur,Tamil Nadu/Thiruvarur
Tamil Nadu/Thoothukkudi,Tamil Nadu/Thoothukkudi
Tamil Nadu/Tiruchirappalli,Tamil Nadu/Tiruchirappalli
Tamil Nadu/Tirunelveli ,Tamil Nadu/Tirunelveli
Tamil Nadu/Tiruppur,Tamil Nadu/Tiruppur
Tamil Nadu/Tiruvannamalai,Tamil Nadu/Tiruvannamalai
Tamil Nadu/Vellore,Tamil Nadu/Vellore
Tamil Nadu/Viluppuram,Tamil Nadu/Viluppuram
Tamil Nadu/Virudhunagar,Tamil Nadu/Virudhunagar
Tripura/Dhalai,Tripura/Dhalai
Tripura/North Tripura,Tripura/North Tripura
Tripura/South Tripura ,Tripura/South Tripura
Tripura/West Tripura ,Tripura/West Tripura
Uttar Pradesh/Agra,Uttar Pradesh/Agra
Uttar Pradesh/Aligarh,Uttar Pradesh/Aligarh
Uttar Pradesh/Allahabad ,Uttar Pradesh/Prayagraj
Uttar Pradesh/Ambedkar Nagar,Uttar Pradesh/Ambedkar Nagar
Uttar Pradesh/Auraiya,Uttar Pradesh/Auraiya
Uttar Pradesh/Azamgarh,Uttar Pradesh/Azamgarh
Uttar Pradesh/Baghpat,Uttar Pradesh/Baghpat
Uttar Pradesh/Bahraich,Uttar Pradesh/Bahraich
Uttar Pradesh/Ballia,Uttar Pradesh/Ballia
Uttar Pradesh/Balrampur,Uttar Pradesh/Balrampur
Uttar Pradesh/Banda,Uttar Pradesh/Banda
Uttar Pradesh/Bara Banki,Uttar Pradesh/Barabanki
Uttar Pradesh/Bareilly,Uttar Pradesh/Bareilly
Uttar Pradesh/Basti,Uttar Pradesh/Basti
Uttar Pradesh/Bijnor,Uttar Pradesh/Bijnor
Uttar Pradesh/Budaun,Uttar Pradesh/Budaun
Uttar Pradesh/Bulandshahr ,Uttar Pradesh/Bulandshahr
Uttar Pradesh/Chandauli,Uttar Pradesh/Chandauli
Uttar Pradesh/Chitrakoot,Uttar Pradesh/Chitrakoot
Uttar Pradesh/Deoria,Uttar Pradesh/Deoria
Uttar Pradesh/Etah,Uttar Pradesh/Etah
Uttar Pradesh/Etawah,Uttar Pradesh/Etawah
Uttar Pradesh/Faizabad,Uttar Pradesh/Ayodhya
Uttar Pradesh/Farrukhabad,Uttar Pradesh/Farrukhabad
Uttar Pradesh/Fatehpur,Uttar Pradesh/Fatehpur
Uttar Pradesh/Firozabad,Uttar Pradesh/Firozabad
Uttar Pradesh/Gautam Buddha Nagar,Uttar Pradesh/Gautam Buddha Nagar
Uttar Pradesh/Ghaziabad,Uttar Pradesh/Ghaziabad
Uttar Pradesh/Ghazipur,Uttar Pradesh/Ghazipur
Uttar Pradesh/Gonda,Uttar Pradesh/Gonda
Uttar Pradesh/Gorakhpur,Uttar Pradesh/Gorakhpur
Uttar Pradesh/Hamirpur,Uttar Pradesh/Hamirpur
Uttar Pradesh/Hardoi,Uttar Pradesh/Hardoi
Uttar Pradesh/Jalaun ,Uttar Pradesh/Jalaun
Uttar Pradesh/Jaunpur,Uttar Pradesh/Jaunpur
Uttar Pradesh/Jhansi,Uttar Pradesh/Jhansi
Uttar Pradesh/Jyotiba Phule Nagar,Uttar Pradesh/Amroha
Uttar Pradesh/Kannauj,Uttar Pradesh/Kannauj
Uttar Pradesh/Kanpur Dehat,Uttar Pradesh/Kanpur Dehat
Uttar Pradesh/Kanpur Nagar,Uttar Pradesh/Kanpur Nagar
Uttar Pradesh/Kanshiram Nagar,Uttar Pradesh/Kasganj
Uttar Pradesh/Kaushambi,Uttar Pradesh/Kaushambi
Uttar Pradesh/Kheri,Uttar Pradesh/Lakhimpur Kheri
Uttar Pradesh/Kushinagar,Uttar Pradesh/Kushinagar
Uttar Pradesh/Lalitpur,Uttar Pradesh/Lalitpur
Uttar Pradesh/Lucknow,Uttar Pradesh/Lucknow
Uttar Pradesh/Mahamaya Nagar,Uttar Pradesh/Hathras
Uttar Pradesh/Mahoba,Uttar Pradesh/Mahoba
Uttar Pradesh/Mahrajganj,Uttar Pradesh/Maharajganj
Uttar Pradesh/Mainpuri,Uttar Pradesh/Mainpuri
Uttar Pradesh/Mathura,Uttar Pradesh/Mathura
Uttar Pradesh/Mau,Uttar Pradesh/Mau
Uttar Pradesh/Meerut,Uttar Pradesh/Meerut
Uttar Pradesh/Mirzapur,Uttar Pradesh/Mirzapur
Uttar Pradesh/Moradabad,Uttar Pradesh/Moradabad
Uttar Pradesh/Muzaffarnagar,Uttar Pradesh/Muzaffarnagar
Uttar Pradesh/Pilibhit,Uttar Pradesh/Pilibhit
Uttar Pradesh/Pratapgarh,Uttar Pradesh/Pratapgarh
Uttar Pradesh/Rae Bareli,Uttar Pradesh/Rae Bareli
Uttar Pradesh/Rampur,Uttar Pradesh/Rampur
Uttar Pradesh/Saharanpur,Uttar Pradesh/Saharanpur
Uttar Pradesh/Sant Kabir Nagar,Uttar Pradesh/Sant Kabir Nagar
Uttar Pradesh/Sant Ravidas Nagar (Bhadohi),Uttar Pradesh/Bhadohi
Uttar Pradesh/Shahjahanpur,Uttar Pradesh/Shahjahanpur
Uttar Pradesh/Shrawasti,Uttar Pradesh/Shrawasti
Uttar Pradesh/Siddharthnagar,Uttar Pradesh/Siddharthnagar
Uttar Pradesh/Sitapur,Uttar Pradesh/Sitapur
Uttar Pradesh/Sonbhadra,Uttar Pradesh/Sonbhadra
Uttar Pradesh/Sultanpur,Uttar Pradesh/Sultanpur
Uttar Pradesh/Unnao,Uttar Pradesh/Unnao
Uttar Pradesh/Varanasi,Uttar Pradesh/Varanasi
Uttarakhand/Almora,Uttarakhand/Almora
Uttarakhand/Bageshwar,Uttarakhand/Bageshwar
Uttarakhand/Chamoli,Uttarakhand/Chamoli
Uttarakhand/Champawat,Uttarakhand/Champawat
Uttarakhand/Dehradun,Uttarakhand/Dehradun
Uttarakhand/Garhwal,Uttarakhand/Pauri Garhwal
Uttarakhand/Hardwar,Uttarakhand/Haridwar
Uttarakhand/Nainital,Uttarakhand/Nainital
Uttarakhand/Pithoragarh,Uttarakhand/Pithoragarh
Uttarakhand/Rudraprayag,Uttarakhand/Rudraprayag
Uttarakhand/Tehri Garhwal,Uttarakhand/Tehri Garhwal
Uttarakhand/Udham Singh Nagar,Uttarakhand/Udham Singh Nagar
Uttarakhand/Uttarkashi,Uttarakhand/Uttarkashi
West Bengal/Bankura ,West Bengal/Bankura
West Bengal/Birbhum,West Bengal/Birbhum
West Bengal/Dakshin Dinajpur,West Bengal/Dakshin Dinajpur
West Bengal/Darjiling ,West Bengal/Darjeeling
West Bengal/Haora ,West Bengal/Howrah
West Bengal/Hugli ,West Bengal/Hooghly
West Bengal/Jalpaiguri ,West Bengal/Jalpaiguri
West Bengal/Koch Bihar ,West Bengal/Cooch Behar
West Bengal/Kolkata,West Bengal/Kolkata
West Bengal/Maldah ,West Bengal/Malda
West Bengal/Murshidabad ,West Bengal/Murshidabad
West Bengal/Nadia ,West Bengal/Nadia
West Bengal/North Twenty Four Parganas,West Bengal/North 24 Parganas
West Bengal/Paschim Medinipur,West Bengal/Paschim Medinipur
West Bengal/Purba Medinipur,West Bengal/Purba Medinipur
West Bengal/Puruliya,West Bengal/Purulia
West Bengal/South Twenty Four Parganas,West Bengal/South 24 Parganas
West Bengal/Uttar Dinajpur,West Bengal/Uttar Dinajpur
