old,new
Chhattisgarh/Koriya,Chhattisgarh/Koriya
Chhattisgarh/Mahasamund,Chhattisgarh/Mahasamund
Chhattisgarh/Narayanpur,Chhattisgarh/Narayanpur
Chhattisgarh/Raigarh,Chhattisgarh/Raigarh
Chhattisgarh/Raipur,Chhattisgarh/Raipur
Chhattisgarh/Rajnandgaon,Chhattisgarh/Rajnandgaon
Chhattisgarh/Surguja,Chhattisgarh/Surguja
Chhattisgarh/Uttar Bastar Kanker,Chhattisgarh/Uttar Bastar Kanker
Dadra & Nagar Haveli/Dadra & Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu/Dadra and Nagar Haveli
Daman & Diu/Daman,Dadra and Nagar Haveli and Daman and Diu/Daman
Daman & Diu/Diu,Dadra and Nagar Haveli and Daman and Diu/Diu
Goa/North Goa,Goa/North Goa
Goa/South Goa,Goa/South Goa
Gujarat/Ahmadabad,Gujarat/Ahmedabad
Gujarat/Amreli,Gujarat/Amreli
Gujarat/Anand  ,Gujarat/Anand
Gujarat/Banas Kantha,Gujarat/Banaskantha
Gujarat/Bharuch,Gujarat/Bharuch
Gujarat/Bhavnagar,Gujarat/Bhavnagar
Gujarat/Dohad  ,Gujarat/Dahod
Gujarat/Gandhinagar,Gujarat/Gandhinagar
Gujarat/Jamnagar,Gujarat/Jamnagar
Gujarat/Junagadh,Gujarat/Junagadh
Gujarat/Kachchh,Gujarat/Kutch
Gujarat/Kheda,Gujarat/Kheda
Gujarat/Mahesana,Gujarat/Mehsana
Gujarat/Narmada,Gujarat/Narmada
Gujarat/Navsari  ,Gujarat/Navsari
Gujarat/Panch Mahals,Gujarat/Panchmahal
Gujarat/Patan  ,Gujarat/Patan
Gujarat/Porbandar ,Gujarat/Porbandar
Gujarat/Rajkot,Gujarat/Rajkot
Gujarat/Sabar Kantha,Gujarat/Sabarkantha
Gujarat/Surat,Gujarat/Surat
Gujarat/Surendranagar,Gujarat/Surendranagar
Gujarat/Tapi,Gujarat/Tapi
Gujarat/The Dangs,Gujarat/Dang
Gujarat/Vadodara,Gujarat/Vadodara
Gujarat/Valsad,Gujarat/Valsad
Haryana/Ambala,Haryana/Ambala
Haryana/Bhiwani,Haryana/Bhiwani
Haryana/Faridabad,Haryana/Faridabad
Haryana/Fatehabad,Haryana/Fatehabad
Haryana/Gurgaon,Haryana/Gurugram
Haryana/Hisar,Haryana/Hisar
Haryana/Jhajjar,Haryana/Jhajjar
Haryana/Jind,Haryana/Jind
Haryana/Kaithal,Haryana/Kaithal
Haryana/Karnal,Haryana/Karnal
Haryana/Kurukshetra,Haryana/Kurukshetra
Haryana/Mahendragarh,Haryana/Mahendragarh
Haryana/Mewat ,Haryana/Nuh
Haryana/Palwal ,Haryana/Palwal
Haryana/Panchkula,Haryana/Panchkula
Haryana/Panipat,Haryana/Panipat
Haryana/Rewari,Haryana/Rewari
Haryana/Rohtak,Haryana/Rohtak
Haryana/Sirsa,Haryana/Sirsa
Haryana/Sonipat,Haryana/Sonipat
Haryana/Yamunanagar,Haryana/Yamunanagar
Himachal Pradesh/Bilaspur,Himachal Pradesh/Bilaspur
Himachal Pradesh/Chamba,Himachal Pradesh/Chamba
Himachal Pradesh/Hamirpur,Himachal Pradesh/Hamirpur
Himachal Pradesh/Kangra,Himachal Pradesh/Kangra
Himachal Pradesh/Kinnaur,Himachal Pradesh/Kinnaur
Himachal Pradesh/Kullu,Himachal Pradesh/Kullu
Himachal Pradesh/Lahul & Spiti,Himachal Pradesh/Lahaul and Spiti
Himachal Pradesh/Mandi,Himachal Pradesh/Mandi
Himachal Pradesh/Shimla,Himachal Pradesh/Shimla
Himachal Pradesh/Sirmaur,Himachal Pradesh/Sirmaur
Himachal Pradesh/Solan,Himachal Pradesh/Solan
Himachal Pradesh/Una,Himachal Pradesh/Una
Jammu & Kashmir/Anantnag,Jammu and Kashmir/Anantnag
Jammu & Kashmir/Badgam,Jammu and Kashmir/Budgam
Jammu & Kashmir/Bandipore,Jammu and Kashmir/Bandipora
Jammu & Kashmir/Baramula,Jammu and Kashmir/Baramulla
Jammu & Kashmir/Doda,Jammu and Kashmir/Doda
Jammu & Kashmir/Ganderbal,Jammu and Kashmir/Ganderbal
Jammu & Kashmir/Jammu,Jammu and Kashmir/Jammu
Jammu & Kashmir/Kargil,Ladakh/Kargil
Jammu & Kashmir/Kathua,Jammu and Kashmir/Kathua
