i,j
AS_Dibrugarh,AS_Tinsukia
AS_Dibrugarh,AS_Lakhimpur
AS_Dibrugarh,AS_Majuli
AS_Dima Hasao,ML_East Jaintia Hills
AS_Dima Hasao,AS_Hojai
AS_Dima Hasao,AS_Karbi Anglong
AS_Dima Hasao,NL_Peren
AS_Dima Hasao,MN_Tamenglong
AS_Dima Hasao,ML_West Jaintia Hills
AS_Dima Hasao,AS_West Karbi Anglong
AS_Goalpara,ML_West Garo Hills
AS_Goalpara,AS_Kamrup
AS_Goalpara,ML_North Garo Hills
AS_Goalpara,AS_South Salmara Mankachar
AS_Golaghat,AS_Nagaon
AS_Golaghat,AS_Majuli
AS_Golaghat,NL_Wokha
AS_Golaghat,AS_Lakhimpur
AS_Golaghat,NL_Kohima
AS_Golaghat,AS_Karbi Anglong
AS_Golaghat,AS_Jorhat
AS_Golaghat,NL_Dimapur
AS_Hailakandi,AS_Karimganj
AS_Hailakandi,MZ_Kolasib
AS_Hailakandi,MZ_Mamit
AS_Hojai,AS_Nagaon
AS_Hojai,AS_West Karbi Anglong
AS_Hojai,AS_Karbi Anglong
AS_Jorhat,AS_Majuli
AS_Jorhat,NL_Mokokchung
AS_Jorhat,AS_Sivasagar
AS_Jorhat,NL_Wokha
AS_Kamrup,ML_North Garo Hills
AS_Kamrup,ML_West Khasi Hills
AS_Kamrup,ML_Ribhoi
AS_Kamrup,AS_Nalbari
AS_Kamrup Metropolitan,ML_Ribhoi
AS_Kamrup Metropolitan,AS_Morigaon
AS_Kamrup Metropolitan,AS_Kamrup
AS_Karbi Anglong,NL_Dimapur
AS_Karbi Anglong,AS_Nagaon
AS_Karbi Anglong,NL_Peren
AS_Karimganj,MZ_Mamit
AS_Karimganj,TR_North Tripura
AS_Kokrajhar,WB_Alipurduar
AS_Kokrajhar,WB_Cooch Behar
AS_Lakhimpur,AS_Majuli
AS_Majuli,AS_Sivasagar
AS_Morigaon,AS_West Karbi Anglong
AS_Morigaon,AS_Sonitpur
AS_Morigaon,AS_Nagaon
AS_Morigaon,ML_Ribhoi
AS_Nagaon,AS_Sonitpur
AS_Nagaon,AS_West Karbi Anglong
AS_Sivasagar,NL_Longleng
AS_Sivasagar,NL_Mokokchung
AS_Sivasagar,NL_Mon
AS_Sonitpur,AS_Udalguri
AS_South Salmara Mankachar,ML_North Garo Hills
AS_South Salmara Mankachar,ML_South West Garo Hills
AS_South Salmara Mankachar,ML_West Garo Hills
AS_West Karbi Anglong,ML_West Jaintia Hills
AS_West Karbi Anglong,ML_Ribhoi
BR_Araria,BR_Supaul
BR_Araria,BR_Purnia
BR_Araria,BR_Madhepura
BR_Araria,BR_Kishanganj
BR_Arwal,BR_Rohtas
BR_Arwal,BR_Aurangabad
BR_Arwal,BR_Bhojpur
BR_Arwal,BR_Gaya
BR_Arwal,BR_Jehanabad
BR_Arwal,BR_Patna
BR_Aurangabad,MH_Jalgaon
BR_Aurangabad,MH_Jalna
BR_Aurangabad,MH_Ahmednagar
BR_Aurangabad,MH_Beed
BR_Aurangabad,MH_Nashik
BR_Banka,BR_Jamui
BR_Banka,BR_Munger
BR_Banka,JH_Godda
BR_Banka,JH_Deoghar
BR_Banka,JH_Dumka
BR_Banka,BR_Bhagalpur
BR_Begusarai,BR_Khagaria
BR_Begusarai,BR_Lakhisarai
BR_Begusarai,BR_Munger
BR_Begusarai,BR_Patna
BR_Begusarai,BR_Samastipur
BR_Bhagalpur,JH_Godda
BR_Bhagalpur,BR_Katihar
BR_Bhagalpur,BR_Khagaria
BR_Bhagalpur,BR_Madhepura
BR_Bhagalpur,BR_Munger
BR_Bhagalpur,BR_Purnia
BR_Bhagalpur,JH_Sahibganj
BR_Bhojpur,BR_Saran
BR_Bhojpur,BR_Rohtas
BR_Bhojpur,UP_Ballia
BR_Bhojpur,BR_Buxar
BR_Bhojpur,BR_Patna
BR_Buxar,UP_Ballia
BR_Buxar,UP_Ghazipur
BR_Buxar,BR_Kaimur
BR_Buxar,BR_Rohtas
BR_Darbhanga,BR_Madhubani
BR_Darbhanga,BR_Muzaffarpur
BR_Darbhanga,BR_Saharsa
BR_Darbhanga,BR_Samastipur
BR_Darbhanga,BR_Sitamarhi
BR_East Champaran,BR_Sitamarhi
BR_East Champaran,BR_West Champaran
BR_East Champaran,BR_Muzaffarpur
BR_East Champaran,BR_Gopalganj
BR_East Champaran,BR_Sheohar
BR_Gaya,JH_Chatra
BR_Gaya,JH_Hazaribagh
BR_Gaya,BR_Jehanabad
BR_Gaya,JH_Koderma
BR_Gaya,BR_Nalanda
BR_Gaya,BR_Nawada
BR_Gaya,JH_Palamu
BR_Gopalganj,BR_West Champaran
BR_Gopalganj,BR_Siwan
BR_Gopalganj,BR_Saran
BR_Gopalganj,BR_Muzaffarpur
BR_Gopalganj,UP_Deoria
BR_Gopalganj,UP_Kushinagar
BR_Jamui,JH_Deoghar
BR_Jamui,JH_Giridih
BR_Jamui,BR_Lakhisarai
BR_Jamui,BR_Munger
BR_Jamui,BR_Nawada
BR_Jamui,BR_Sheikhpura
BR_Jehanabad,BR_Patna
BR_Jehanabad,BR_Nalanda
BR_Kaimur,UP_Sonbhadra
BR_Kaimur,BR_Rohtas
BR_Kaimur,UP_Chandauli
BR_Kaimur,UP_Ghazipur
BR_Katihar,WB_Uttar Dinajpur
BR_Katihar,JH_Sahibganj
BR_Katihar,WB_Malda
BR_Katihar,BR_Purnia
BR_Khagaria,BR_Madhepura
BR_Khagaria,BR_Munger
BR_Khagaria,BR_Saharsa
BR_Khagaria,BR_Samastipur
BR_Kishanganj,WB_Darjeeling
BR_Kishanganj,BR_Purnia
BR_Kishanganj,WB_Uttar Dinajpur
BR_Lakhisarai,BR_Munger
BR_Lakhisarai,BR_Nalanda
BR_Lakhisarai,BR_Patna
BR_Lakhisarai,BR_Sheikhpura
BR_Madhepura,BR_Supaul
BR_Madhepura,BR_Saharsa
BR_Madhepura,BR_Purnia
BR_Madhubani,BR_Saharsa
BR_Madhubani,BR_Sitamarhi
BR_Madhubani,BR_Supaul
BR_Muzaffarpur,BR_Samastipur
BR_Muzaffarpur,BR_Saran
BR_Muzaffarpur,BR_Sheohar
BR_Muzaffarpur,BR_Sitamarhi
BR_Muzaffarpur,BR_Vaishali
BR_Nalanda,BR_Nawada
BR_Nalanda,BR_Sheikhpura
BR_Nalanda,BR_Patna
BR_Nawada,BR_Sheikhpura
BR_Nawada,JH_Giridih
BR_Nawada,JH_Koderma
BR_Patna,BR_Samastipur
BR_Patna,BR_Saran
BR_Patna,BR_Vaishali
BR_Purnia,WB_Uttar Dinajpur
BR_Rohtas,JH_Garhwa
BR_Rohtas,JH_Palamu
BR_Rohtas,UP_Sonbhadra
BR_Saharsa,BR_Supaul
BR_Saharsa,BR_Samastipur
BR_Samastipur,BR_Vaishali
BR_Saran,UP_Ballia
BR_Saran,BR_Siwan
BR_Saran,BR_Vaishali
BR_Sheohar,BR_Sitamarhi
BR_Siwan,UP_Ballia
BR_Siwan,UP_Deoria
BR_West Champaran,UP_Kushinagar
BR_West Champaran,UP_Maharajganj
CH_Chandigarh,PB_S.A.S. Nagar
CH_Chandigarh,HR_Panchkula
CT_Balod,CT_Durg
CT_Balod,CT_Rajnandgaon
CT_Balod,CT_Dhamtari
CT_Balod,CT_Uttar Bastar Kanker
CT_Baloda Bazar,CT_Raipur
CT_Baloda Bazar,CT_Mungeli
CT_Baloda Bazar,CT_Mahasamund
CT_Baloda Bazar,CT_Raigarh
CT_Baloda Bazar,CT_Bilaspur
CT_Baloda Bazar,CT_Bametara
CT_Baloda Bazar,CT_Janjgir Champa
CT_Balrampur,UP_Gonda
CT_Balrampur,UP_Shrawasti
CT_Balrampur,UP_Siddharthnagar
